Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      258.3   140.0    80.4   128.6   146.7   244.8   283.1   304.3   318.9   337.8   361.5   398.6   539.7  2032.3  4184.3  18615.8    18614
read      281.4   184.1    74.4   122.7   140.0   258.0   304.6   333.7   355.8   382.6   418.4   476.2   848.5  2196.4  6153.8  29284.2    29315
read      356.9   595.1    74.4   126.9   144.0   263.5   319.2   355.3   385.3   426.8   492.9   621.3  3461.7  7328.7  8906.5 107803.0   108090
read      288.4   201.1    74.4   126.1   144.9   266.4   315.3   343.9   365.4   390.6   422.6   472.4   686.3  2780.9  7555.1  27126.0    27024
read      265.3   160.5    74.4   116.4   129.6   245.1   295.6   324.0   346.2   375.4   416.0   480.4   650.3  2124.5  3900.5  49942.6    49907
read      225.2   112.0    86.8   138.4   154.0   214.7   238.6   252.4   263.2   275.0   292.3   319.0   461.4  1379.5  3185.3   9130.4     9150
read      299.4   226.1    74.4   119.3   135.9   270.9   329.6   364.5   390.0   419.6   457.8   517.5   890.9  2939.6  7710.5  34484.6    34328
read      268.1   169.4    74.4   116.3   129.1   245.9   297.9   327.8   351.2   382.2   425.4   495.8   671.7  2206.2  4836.8  51847.4    51881
read      245.8   104.6    80.4   131.4   150.3   236.2   269.4   287.7   300.6   315.9   336.4   368.6   492.6  1467.8  2456.4  14604.8    14569
read      289.9   473.3    74.4   117.3   130.7   231.2   284.1   311.9   332.4   357.7   393.8   468.7  1218.0  7111.8  9632.1  81608.2    81517
read      241.3   123.7    74.4   116.7   129.5   224.9   276.0   301.3   318.6   339.4   365.9   407.4   532.8  1295.8  3555.1  78787.6    78694
read      239.5   115.2    74.4   116.4   129.4   221.6   270.9   296.5   315.0   336.8   365.5   412.8   552.8  1196.7  2692.1  93389.0    93409
read      300.6   211.1    74.4   116.1   132.1   271.4   336.3   374.3   401.9   433.7   475.5   539.8   778.7  2905.1  5620.5  39268.0    39093
read      256.3   115.0    74.4   128.6   146.6   244.6   282.6   304.0   319.3   338.8   363.3   400.8   533.0  1454.0  2620.4  18810.8    18729
read      320.6   534.9    74.4   114.3   127.0   237.4   297.2   333.1   362.6   403.2   466.9   575.7  2662.9  7542.8  9464.4  70857.0    70818
read      274.3   184.8    74.4   125.4   143.2   258.0   303.0   327.4   344.7   365.6   392.0   434.6   653.4  2178.1  4237.3  21930.6    21942
read      304.6   545.1    74.4   119.7   133.9   236.0   287.6   315.9   337.6   365.0   403.5   481.9  1394.2  6950.5  9824.4  91642.8    91810
read      307.5   250.3    74.4   117.1   133.1   274.0   339.8   378.4   405.9   438.5   480.9   543.7   911.0  3352.7  7729.8  39376.8    39588
read      312.9   228.4    68.9   115.7   131.6   283.8   358.8   398.6   426.1   457.8   496.9   554.6   760.6  3014.7  7157.7  40918.0    40957
